"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"9204","Frogs for Snakes","/movies/?id=frogsforsnakes.htm",21589,"Artisan","May","Crime Comedy",108,"R",NA,NA
"9205","Easy","/movies/?id=easy.htm",21589,"Magic Lamp","November","Romantic Comedy",99,"R",NA,NA
"9206","Dr. Bronner's Magic Soapbox","/movies/?id=drbronnersmagicsoapbox.htm",21579,"Balcony Releasing","June","Documentary",88,"Unrated",NA,NA
"9207","Waiting for Lightning","/movies/?id=waitingforlightning.htm",21577,"Samuel Goldwyn","December","Documentary",96,"PG-13",NA,NA
"9208","Monogamy","/movies/?id=monogamy.htm",21527,"Oscilloscope Pictures","March","Drama",94,"Unrated",NA,NA
"9209","So Much So Fast","/movies/?id=somuchsofast.htm",21525,"Balcony Releasing","October","Documentary",87,"Unrated",NA,NA
"9210","New Rose Hotel","/movies/?id=newrosehotel.htm",21521,"Lions Gate","October","Unknown",92,"R",NA,NA
"9211","Slutty Summer","/movies/?id=sluttysummer.htm",21515,"Embrem Entertainment","June","Comedy",85,"Unrated",NA,NA
"9212","The Sunchaser","/movies/?id=sunchaser.htm",21508,"Warner Bros.","October","Unknown",122,"R",NA,"Michael Cimino"
"9213","Imaginary Witness: Hollywood and the Holocaust","/movies/?id=imaginarywitness.htm",21507,"Shadow Dist.","December","Documentary",92,"Unrated",NA,NA
"9214","Dreaming Lhasa","/movies/?id=dreaminglhasa.htm",21504,"First Run","April","Drama",90,"Unrated",NA,NA
"9215","Thank You for Your Service","/movies/?id=thankyouforyourservice.htm",21497,"Gathr Films","October","Documentary",101,"Unrated",NA,NA
"9216","Violeta Went to Heaven","/movies/?id=violetawenttoheaven.htm",21496,"Kino Lorber","March","Foreign",NA,"Unrated",NA,NA
"9217","You, the Living","/movies/?id=youtheliving.htm",21438,"Palisades Tartan","July","Foreign",95,"Unrated",NA,NA
"9218","Three of Hearts","/movies/?id=threeofhearts05.htm",21429,"ThinkFilm","October","Documentary",97,"Unrated",NA,NA
"9219","The Cry (La Llorona)","/movies/?id=llorona.htm",21427,"Monterey Media, Inc.","April","Horror",83,"R",NA,NA
"9220","Almost Salinas","/movies/?id=almostsalinas.htm",21419,"Strata Prods.","May","Unknown",92,"PG",NA,NA
"9221","Bigger Than the Sky","/movies/?id=biggerthanthesky.htm",21398,"MGM","February","Comedy",106,"PG-13",750000,NA
"9222","Always Kabhi Kabhi","/movies/?id=alwayskabhikabhi.htm",21381,"Eros","June","Foreign",NA,"Unrated",NA,NA
"9223","The Guys","/movies/?id=guys.htm",21366,"Focus Features","April","Unknown",85,"PG",NA,NA
"9224","The Decent One","/movies/?id=decentone.htm",21327,"Kino Lorber","October","Documentary",94,"Unrated",NA,NA
"9225","Tio Papi","/movies/?id=tiopapi.htm",21316,"Active Fox Productions","September","Family",NA,"PG",NA,NA
"9226","Memphis","/movies/?id=memphis.htm",21286,"Kino Lorber","September","Drama",75,"Unrated",NA,NA
"9227","The Burial Society","/movies/?id=burialsociety.htm",21285,"Regent Releasing","May","Unknown",94,"R",NA,NA
"9228","Hush!","/movies/?id=hush02.htm",21278,"Strand","November","Unknown",135,"Unrated",NA,NA
"9229","Bonsai","/movies/?id=bonsai.htm",21267,"Strand","May","Foreign",95,"Unrated",NA,NA
